Index,Message,Description,Message Abstract,Description Abstract
870,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.4,,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.4,
871,chore(deps): update dependency eslint to v8.0.1,,chore(deps): update dependency eslint to v8.0.1,
872,chore(deps): update dependency @types/node to v14.17.26,,chore(deps): update dependency @types/node to v14.17.26,
873,fix(deps): update angular-cli monorepo to v12.2.10,,fix(deps): update angular-cli monorepo to v12.2.10,
874,fix(deps): update dependency webpack to v5.58.2,,fix(deps): update dependency webpack to v5.58.2,
875,chore(deps): update dependency eslint-plugin-import to v2.25.2,,chore(deps): update dependency eslint-plugin-import to v2.25.2,
876,chore(deps): update dependency @types/node to v14.17.22,,chore(deps): update dependency @types/node to v14.17.22,
877,chore(deps): update dependency eslint-plugin-import to v2.25.1,,chore(deps): update dependency eslint-plugin-import to v2.25.1,
878,chore(deps): update typescript-eslint monorepo to v5,,chore(deps): update typescript-eslint monorepo to v5,
879,chore(deps): update dependency ts-node to v10.3.0,,chore(deps): update dependency ts-node to v10.3.0,
880,chore(deps): update dependency @types/webpack-node-externals to v2.5.3,,chore(deps): update dependency @types/webpack-node-externals to v2.5.3,
881,chore(deps): update dependency cli-table3 to v0.6.0,,chore(deps): update dependency cli-table3 to v0.6.0,
882,chore(deps): update dependency eslint to v8,,chore(deps): update dependency eslint to v8,
883,chore(deps): update dependency @commitlint/cli to v13.2.1,,chore(deps): update dependency @commitlint/cli to v13.2.1,
884,chore(deps): update dependency jest to v27.2.5,,chore(deps): update dependency jest to v27.2.5,
885,chore(deps): update dependency @types/node to v14.17.21,,chore(deps): update dependency @types/node to v14.17.21,
886,chore(deps): update typescript-eslint monorepo to v4.33.0,,chore(deps): update typescript-eslint monorepo to v4.33.0,
887,Merge pull request #1353 from micalevisk/chore/migrate-to-gh-issue-forms,chore(): migrate to github issues forms,Merge pull request #1353 from micalevisk/chore/migrate-to-gh-issue-forms,chore(): migrate to github issues forms
888,chore(): migrate to github issues forms,,chore(): migrate to github issues forms,
889,Merge pull request #1350 from rmlzy/master,fix(doc): rename Developement to Development,Merge pull request #1350 from rmlzy/master,fix(doc): rename Developement to Development
890,fix(doc): rename Developement to Development,,fix(doc): rename Developement to Development,
891,chore(deps): update dependency jest to v27.2.4,,chore(deps): update dependency jest to v27.2.4,
892,chore(deps): update dependency @types/node to v14.17.20,,chore(deps): update dependency @types/node to v14.17.20,
893,chore(): release v8.1.2,,chore(): release v8.1.2,
894,Merge pull request #1344 from micalevisk/feat/add-strict-flag,"feat(): add optional --strict flag on ""nest new""",Merge pull request #1344 from micalevisk/feat/add-strict-flag,"feat(): add optional --strict flag on ""nest new"""
895,feat(): add strict option on new command,This addresses the issue https://github.com/nestjs/schematics/issues/597 Now users can use: $ nest new --strict if they want to create a project with TS's strict mode enabled,feat(): add strict option on new command,This addresses the issue link Now users can use: $ nest new --strict if they want to create a project with TS's strict mode enabled
896,"test(): add test for ""strict"" flag",,"test(): add test for ""strict"" flag",
897,chore(deps): update dependency jest to v27.2.3,,chore(deps): update dependency jest to v27.2.3,
898,chore(deps): update @nestjs/schematics to v8.0.3,"Since the strict option was released in v8.0.3 of @nestjs/schematics, we must upgraded it before",chore(deps): update @nestjs/schematics to v8.0.3,"Since the strict option was released in v8.0.3 of @nestjs/schematics, we must upgraded it before"
899,chore(deps): update commitlint monorepo to v13.2.0,,chore(deps): update commitlint monorepo to v13.2.0,
900,chore(deps): update typescript-eslint monorepo to v4.32.0,,chore(deps): update typescript-eslint monorepo to v4.32.0,
901,Merge pull request #1319 from ajubin/master,feat(watch mode): toggle webpack development mode on watch,Merge pull request #1319 from ajubin/master,feat(watch mode): toggle webpack development mode on watch
902,Merge pull request #1274 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.3,Merge pull request #1274 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.3
903,Merge pull request #1280 from nestjs/dependabot/npm_and_yarn/path-parse-1.0.7,chore(deps): bump path-parse from 1.0.6 to 1.0.7,Merge pull request #1280 from nestjs/dependabot/npm_and_yarn/path-parse-1.0.7,chore(deps): bump path-parse from 1.0.6 to 1.0.7
904,Merge pull request #1284 from nestjs/renovate/node-emoji-1.x,fix(deps): update dependency node-emoji to v1.11.0,Merge pull request #1284 from nestjs/renovate/node-emoji-1.x,fix(deps): update dependency node-emoji to v1.11.0
905,Merge pull request #1306 from nestjs/renovate/tsconfig-paths-3.x,fix(deps): update dependency tsconfig-paths to v3.11.0,Merge pull request #1306 from nestjs/renovate/tsconfig-paths-3.x,fix(deps): update dependency tsconfig-paths to v3.11.0
906,Merge pull request #1312 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.7,Merge pull request #1312 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.7
907,Merge pull request #1324 from nestjs/renovate/source-map-support-0.x,fix(deps): update dependency source-map-support to v0.5.20,Merge pull request #1324 from nestjs/renovate/source-map-support-0.x,fix(deps): update dependency source-map-support to v0.5.20
908,chore(deps): update dependency jest to v27.2.2,,chore(deps): update dependency jest to v27.2.2,
909,chore(deps): update dependency @types/node to v14.17.19,,chore(deps): update dependency @types/node to v14.17.19,
910,fix(deps): update angular-cli monorepo to v12.2.7,,fix(deps): update angular-cli monorepo to v12.2.7,
