Index,Message,Description
383,chore: Move draggable regions implementation from NativeBrowserView into InspectableWebContentsView (#35007)
384,chore: bump chromium to 108.0.5355.0 (main) (#35900)
385,Bump v23.0.0-nightly.20221017
386,"docs: update VS Code debugger types to remove ""pwa-"" prefix (#36042)"
387,fix: override app's desktop name and v8 flags in default-app (#35997)
388,test: re-enable  tag DOM events emits resize event (#36026)
389,chore: remove useless Node.js V8 patch (#36013)
390,Bump v23.0.0-nightly.20221014
391,docs: fix erroneous removal warning for decrementCapturerCount (#36016)
392,fix: Windows 7 frame showing for frameless non-resizable windows (#35365)
393,Bump v23.0.0-nightly.20221013
394,"Revert ""Bump v23.0.0-nightly.20221013"""
395,test: re-enable power monitor tests on arm64 (#36015)
396,Bump v23.0.0-nightly.20221013
397,refactor: use views NonClientHitTest for draggable regions on mac (#35603)
398,fix: disable nodeIntegrationInWorker for certain Worker types (#35919)
399,docs: use webContents.mainFrame.on() in MessagePort tutorial (#35824)
400,test: more robust PDF specs (#35979)
401,build: fix building with enable_ppapi = false (#35988)
402,Bump v23.0.0-nightly.20221012
403,chore: remove WebKit leftovers after it was renamed to Blink (#35966)
404,fix: webContents.printToPDF option plumbing (#35975)
405,docs: remove references to Widevine (#35980)
406,fix: on-screen-keyboard hides on input blurred in webview (#35921)
407,test: remove redundant color diffing dependency (#33215)
408,fix: drag and drop should copy on macOS (#35963)
409,Bump v23.0.0-nightly.20221011
410,test: add tests for valid electron module names (#35931)
411,Bump v23.0.0-nightly.20221010
412,fix: override content::ContentMainDelegate::CreateContentClient() (#35932)
413,"Revert ""Bump v23.0.0-nightly.20221010"""
414,Bump v23.0.0-nightly.20221010
415,fix: expose the built-in electron module via the ESM loader (#35930)
416,docs: remove pywin32 mention in Windows build instructions (#35940)
417,"fix: add missing #include ""base/cxx17_backports.h"" (#35945)"
418,Bump v23.0.0-nightly.20221007
419,Bump v23.0.0-nightly.20221006
420,chore: cherry-pick c83640db21b5 from chromium (#35924)
421,fix: only override valid electron module names (#35915)
422,refactor: eliminate DecrementCapturerCount patch (#35710)
423,build: clean up patch linting errors (#35917)
424,Bump v23.0.0-nightly.20221005
425,docs: update supported Mac versions (#35911)
426,docs: update bluetooth fiddle example event name to trigger correct event (#35894)
427,Bump v23.0.0-nightly.20221004
428,chore: update libcxx filenames (#35904)
429,"Revert ""Bump v23.0.0-nightly.20221004"""
430,Bump v23.0.0-nightly.20221004
431,fix: ensure mas builds of the same application can use safestorage (#35864)
