Index,Message,Description
1225,Update Secret Volume to support module.,This works the same as module. I also fixed module validator. It’s logic was the reverse of intention.
1226,Add acc tests,
1227,vendor: Remove unused dependencies,
1228,vendor: github.com/hashicorp/terraform/...@v0.10.0,
1229,vendor: Ignore github.com/hashicorp/terraform/backend,This is to avoid dependency sprawl - e.g. vendoring AWS or Azure SDK when we don't really need remote backend functionality in provider code - it's core's responsibility.
1230,Fix pod template node_selectors,Prior to this fix the provider did not correct set the nodeSelectors attribute of a pod template. This was because it silently failed the  type conversion ( map[string]string != map[string]interface{} ).
1231,Cleanup after v0.1.2 release,
1232,v0.1.2,
1233,Update CHANGELOG.md,
1234,Merge pull request #40 from terraform-providers/b-escape-json-ptr,Escape '/' in JSON Patch path correctly
1235,Escape '/' in JSON Patch path correctly,
1236,Update CHANGELOG.md,
1237,Add switch to disable kubeconfig (#36),  Add switch to disable kubeconfig   Change variable disable_local_config to load_config_file   Fix variable name in the doc   Fix after review 
1238,Merge pull request #39 from terraform-providers/docs-not-new-anymore,docs: Remove note about provider being new
1239,docs: Remove note about provider being new,
1240,Merge pull request #29 from adieu/patch1,Should return empty array if LabelSelector is not set.
1241,Add test for patched flattenLabelSelector,
1242,Should return empty array if LabelSelector is not set.,
1243,docs: Document new KUBE_TOKEN env var,
1244,Update CHANGELOG.md,
1245,Merge pull request #35 from sohlcoveo/add_token,Add support of token in auth
1246,Fix copy paste,
1247,Add support of token in auth,
1248,Update CHANGELOG.md,
1249,Merge pull request #33 from ashishth09/master,Data source for K8s storage class
1250,Data source for K8s storage class,
1251,Fixing link in README,
1252,Update image URL (point to master branch),
1253,Merge pull request #32 from terraform-providers/examples,Add examples
1254,Add examples,
1255,Update CHANGELOG.md,
1256,Merge pull request #23 from terraform-providers/f-svc-data-source,Add kubernetes_service data source
1257,Update CHANGELOG.md,
1258,Merge pull request #27 from terraform-providers/b-service-optional-port,r/service: Make port optional field
1259,Merge pull request #28 from terraform-providers/dep-google-provider,vendor: Re-vendor google provider (after provider split)
1260,Update CHANGELOG.md,
1261,Merge pull request #22 from terraform-providers/f-storage-class,Add support for kubernetes_storage_class
1262,Add support for storage_class to PVC,
1263,Add support for kubernetes_storage_class,
1264,Update import of google provider,
1265,vendor: Upgrade Google provider deps,
1266,vendor: Re-vendor google provider (after provider split),
1267,r/service: Make port optional field,
1268,Cleanup after v0.1.1 release,
1269,v0.1.1,
1270,Fix wrong logo URL (#24),
1271,Add kubernetes_service data source,
1272,Merge pull request #21 from terraform-providers/b-svc-timeout,r/service: Raise LB timeout to 10mins
1273,r/service: Raise LB timeout to 10mins,
1274,test-infra: Expose K8S version,
1275,Update CHANGELOG.md,
1276,Merge pull request #17 from terraform-providers/f-service-account,Add support for kubernetes_service_account
1277,Update CHANGELOG.md,
1278,Update CHANGELOG.md,
1279,Merge pull request #19 from terraform-providers/b-config-map-vol-crash-fix,r/pod: Fix a crash caused by wrong field name (config map volume source)
1280,r/pod+replication_controller: Add validation for file mode bits,
1281,Update CHANGELOG.md,
1282,Merge pull request #16 from terraform-providers/f-expose-failure-reasons,Expose last warnings from eventlog for Pod+PVC+SVC
1283,Expose last warnings from eventlog for Pod+PVC+SVC,
