Index,Message,Description,Message Abstract,Description Abstract
216,Merge pull request #2175 from nestjs/renovate/eslint-8.x,chore(deps): update dependency eslint to v8.29.0,Merge pull request #2175 from nestjs/renovate/eslint-8.x,chore(deps): update dependency eslint to v8.29.0
217,Merge pull request #2178 from nestjs/renovate/fastify-static-6.x,chore(deps): update dependency @fastify/static to v6.6.0,Merge pull request #2178 from nestjs/renovate/fastify-static-6.x,chore(deps): update dependency @fastify/static to v6.6.0
218,chore(deps): update dependency eslint to v8.29.0,,chore(deps): update dependency eslint to v8.29.0,
219,chore(deps): update dependency @fastify/static to v6.6.0,,chore(deps): update dependency @fastify/static to v6.6.0,
220,Merge pull request #2172 from nestjs/renovate/jest-monorepo,chore(deps): update dependency @types/jest to v29.2.4,Merge pull request #2172 from nestjs/renovate/jest-monorepo,chore(deps): update dependency @types/jest to v29.2.4
221,Merge pull request #2173 from nestjs/renovate/lodash-4.x,chore(deps): update dependency @types/lodash to v4.14.191,Merge pull request #2173 from nestjs/renovate/lodash-4.x,chore(deps): update dependency @types/lodash to v4.14.191
222,Merge pull request #2191 from nestjs/renovate/supertest-6.x,chore(deps): update dependency supertest to v6.3.2,Merge pull request #2191 from nestjs/renovate/supertest-6.x,chore(deps): update dependency supertest to v6.3.2
223,Merge pull request #2193 from nestjs/renovate/lint-staged-13.x,chore(deps): update dependency lint-staged to v13.1.0,Merge pull request #2193 from nestjs/renovate/lint-staged-13.x,chore(deps): update dependency lint-staged to v13.1.0
224,Merge pull request #2194 from nestjs/renovate/prettier-2.x,chore(deps): update dependency prettier to v2.8.0,Merge pull request #2194 from nestjs/renovate/prettier-2.x,chore(deps): update dependency prettier to v2.8.0
225,chore(deps): update dependency prettier to v2.8.0,,chore(deps): update dependency prettier to v2.8.0,
226,Update config.yml,,Update config.yml,
227,chore(deps): update dependency lint-staged to v13.1.0,,chore(deps): update dependency lint-staged to v13.1.0,
228,chore(deps): update dependency supertest to v6.3.2,,chore(deps): update dependency supertest to v6.3.2,
229,chore(deps): update dependency @types/lodash to v4.14.191,,chore(deps): update dependency @types/lodash to v4.14.191,
230,chore(deps): update dependency @types/jest to v29.2.4,,chore(deps): update dependency @types/jest to v29.2.4,
231,Merge pull request #2192 from nestjs/renovate/nest-monorepo,chore(deps): update nest monorepo to v9.2.1,Merge pull request #2192 from nestjs/renovate/nest-monorepo,chore(deps): update nest monorepo to v9.2.1
232,Merge pull request #2190 from nestjs/renovate/release-it-15.x,chore(deps): update dependency release-it to v15.5.1,Merge pull request #2190 from nestjs/renovate/release-it-15.x,chore(deps): update dependency release-it to v15.5.1
233,Merge pull request #2189 from nestjs/renovate/node-18.x,chore(deps): update dependency @types/node to v18.11.11,Merge pull request #2189 from nestjs/renovate/node-18.x,chore(deps): update dependency @types/node to v18.11.11
234,Merge pull request #2186 from nestjs/renovate/npm-qs-vulnerability,chore(deps): update dependency qs to 6.9.7 [security],Merge pull request #2186 from nestjs/renovate/npm-qs-vulnerability,chore(deps): update dependency qs to 6.9.7 [security]
235,Merge pull request #2177 from nestjs/renovate/commitlint-monorepo,chore(deps): update commitlint monorepo to v17.3.0,Merge pull request #2177 from nestjs/renovate/commitlint-monorepo,chore(deps): update commitlint monorepo to v17.3.0
236,chore(deps): update nest monorepo to v9.2.1,,chore(deps): update nest monorepo to v9.2.1,
237,chore(deps): update dependency release-it to v15.5.1,,chore(deps): update dependency release-it to v15.5.1,
238,chore(deps): update dependency @types/node to v18.11.11,,chore(deps): update dependency @types/node to v18.11.11,
239,Merge pull request #2141 from nestjs/renovate/swagger-ui-dist-4.x,fix(deps): update dependency swagger-ui-dist to v4.15.5,Merge pull request #2141 from nestjs/renovate/swagger-ui-dist-4.x,fix(deps): update dependency swagger-ui-dist to v4.15.5
240,Merge pull request #2162 from lukas-reining/feature/multiple-script-imports,feat(swagger-ui): Implement multiple js and css imports,Merge pull request #2162 from lukas-reining/feature/multiple-script-imports,feat(swagger-ui): Implement multiple js and css imports
241,chore(deps): update commitlint monorepo to v17.3.0,,chore(deps): update commitlint monorepo to v17.3.0,
242,ci: update node version,,ci: update node version,
243,Merge pull request #2170 from khmm12/fix/type-helpers-metadata-inhereting-in-yarn-pnp-env,fix: type helpers metadata inheriting,Merge pull request #2170 from khmm12/fix/type-helpers-metadata-inhereting-in-yarn-pnp-env,fix: type helpers metadata inheriting
244,chore(deps): update dependency qs to 6.9.7 [security],,chore(deps): update dependency qs to 6.9.7 [security],
245,feat: support adding global paramters,,feat: support adding global paramters,
