Index,Release Note,Release Note With Abstraction
106,"Added

Multiplan subscriptions (#900)
Tax Rates (#830)
Add new has payment method (#838)

Changed

Update stripe api version (#905)
Require PHP 7.2 (f0f8cd1)
Dropped Laravel 5.8 support (b6256a2)
Allow for subscription options (#868, #901)
Use proper invoice number (#878)
Loosen exception throwing (#882)
Rename some exceptions (#881)
Allow for custom filename with downloadInvoice method (#889)
Split Billable trait into multiple concerns (#898)
","Added
Multiplan subscriptions (#900)
Tax Rates (#830)
Add new has payment method (#838)
Changed
Update stripe api version (#905)
Require PHP 7.2 (f0f8cd1)
Dropped Laravel 5.8 support (b6256a2)
Allow for subscription options (#868, #901)
Use proper invoice number (#878)
Loosen exception throwing (#882)
Rename some exceptions (#881)
Allow for custom filename with downloadInvoice method (#889)
Split Billable trait into multiple concerns (#898)"
107,"Fixed

Send along status for payment page (#896)
","Fixed
Send along status for payment page (#896)"
108,"Fixed

Add X-Vapor-Base64-Encode header (#897)
","Fixed
Add X-Vapor-Base64-Encode header (#897)"
109,"Added

Add getters for owner instances to objects (#877)
Implement extending trials (#884)
Allow for custom email address attribute (#887)
Re-enable proration (#886)

Changed

Add @throws declaration to methods on Billable which can throw Payment exceptions (#872)
Update payment page with new JS method (#879)
","Added
Add getters for owner instances to objects (#877)
Implement extending trials (#884)
Allow for custom email address attribute (#887)
Re-enable proration (#886)
Changed
Add @throws declaration to methods on Billable which can throw Payment exceptions (#872)
Update payment page with new JS method (#879)"
110,"Added

Add findBillable method (#869)

Fixed

Prevent createAsStripeCustomer when stripe_id is set (#871)
","Added
Add findBillable method (#869)
Fixed
Prevent createAsStripeCustomer when stripe_id is set (#871)"
111,"Fixed

Fix findInvoiceOrFail behavior (#853)
","Fixed
Fix findInvoiceOrFail behavior (#853)"
112,"Changed

Assert customer exists before retrieving (#834)
Simplify refund method (#837)

Fixed

Fix typo in exception message (#846)
Fix overriding notification subject translation (59faaf3)
","Changed
Assert customer exists before retrieving (#834)
Simplify refund method (#837)
Fixed
Fix typo in exception message (#846)
Fix overriding notification subject translation (59faaf3)"
113,"Added

Symfony 5 support (#822)
","Added
Symfony 5 support (#822)"
114,"Added

Webhook events (#810)

Fixed

Add missing @throws tags (#813)
Properly return null for find methods (#817)
","Added
Webhook events (#810)
Fixed
Add missing @throws tags (#813)
Properly return null for find methods (#817)"
115,"Added

Add findPaymentMethod method (#801)
Allow to set past due as active (#802)
","Added
Add findPaymentMethod method (#801)
Allow to set past due as active (#802)"
116,"Added

Configure Stripe logger (#790, 4a53b46)

Changed

Add language line for full name placeholder (#782)
Update Stripe SDK to v7 (#784)
Refactor handling of invalid webhook signatures (#791)
Remove config repository dependency from webhook middleware (#793)

Fixed

Remove extra sign off from ConfirmPayment notification (#779)
","Added
Configure Stripe logger (#790, 4a53b46)
Changed
Add language line for full name placeholder (#782)
Update Stripe SDK to v7 (#784)
Refactor handling of invalid webhook signatures (#791)
Remove config repository dependency from webhook middleware (#793)
Fixed
Remove extra sign off from ConfirmPayment notification (#779)"
117,"Fixed

Ensure SVG icons are visible even with a long success or error message (#772)
","Fixed
Ensure SVG icons are visible even with a long success or error message (#772)"
118,"Added

Add ability to ignore cashier routes (#763)

Fixed

Only mount card element if payment has not succeeded or been cancelled (#765)
Set off_session parameter to true when creating a new subscription (#764)
","Added
Add ability to ignore cashier routes (#763)
Fixed
Only mount card element if payment has not succeeded or been cancelled (#765)
Set off_session parameter to true when creating a new subscription (#764)"
119,"Fixed

Remove collation from migrations (#761)
","Fixed
Remove collation from migrations (#761)"
120,"Added

Multiple stripe accounts (#754)
Set Stripe library info (#756)
Paper size can be set in config file (#752, cb837d1)

Changed

Update Stripe API version to 2019-08-14 (#749)

Fixed

syncStripeStatus trying to update incorrect status column (#748)
","Added
Multiple stripe accounts (#754)
Set Stripe library info (#756)
Paper size can be set in config file (#752, cb837d1)
Changed
Update Stripe API version to 2019-08-14 (#749)
Fixed
syncStripeStatus trying to update incorrect status column (#748)"
121,"Added

Allow hasCompletePayment() to check other subscriptions than “default” (#733)
Add indexes to those columns used to lookup data in the database (#739)

Fixed

Fixed a label with an incorrect for attribute (#732)
","Added
Allow hasCompletePayment() to check other subscriptions than “default” (#733)
Add indexes to those columns used to lookup data in the database (#739)
Fixed
Fixed a label with an incorrect for attribute (#732)"
122,"Added

Add latestPayment method on Subscription (#705)
Allow custom filename for invoice download (#723)

Changed

Improve stripe statuses (#707)
Refactor active subscription state (#712)
Return invoice object when applicable (#711)
Refactor webhook responses (#722)
Refactor confirm payment mail to notification (#727)

Fixed

Fix createSetupIntent (#704)
Fix subscription invoicing (#710)
Fix null return for latestPayment method (#730)

Removed

Remove unused $customer parameter on updateQuantity method (#729)
","Added
Add latestPayment method on Subscription (#705)
Allow custom filename for invoice download (#723)
Changed
Improve stripe statuses (#707)
Refactor active subscription state (#712)
Return invoice object when applicable (#711)
Refactor webhook responses (#722)
Refactor confirm payment mail to notification (#727)
Fixed
Fix createSetupIntent (#704)
Fix subscription invoicing (#710)
Fix null return for latestPayment method (#730)
Removed
Remove unused $customer parameter on updateQuantity method (#729)"
