Index,Release Note,Release Note With Abstraction
112,"Added a super nice dark mode. Thanks to @oskarkrawczyk!
You can toggle dark mode in the Caprine menu or with Cmd D.
","Added a super nice dark mode. Thanks to @oskarkrawczyk!
You can toggle dark mode in the Caprine menu or with Cmd D."
113,"
Add shortcuts for finding and selecting conversations https://github.com/sindresorhus/caprine/commit/7771885f3f8976d1e2df8c1c3b72fb21cf1174c1
Upgrade to Electron 0.36.6 https://github.com/sindresorhus/caprine/commit/9a9f9f3634fa4d99f15534658dd7cb628975dfce
","Add shortcuts for finding and selecting conversations link
Upgrade to Electron 0.36.6 link"
114,"Upgrade dependencies and add tray menu for Linux and Windows. https://github.com/sindresorhus/caprine/commit/2bcbe11dd355590c858ebabcc55f653e2db74a07
https://github.com/sindresorhus/caprine/compare/0.4.0...v0.5.1","Upgrade dependencies and add tray menu for Linux and Windows. link
link"
115,"Window state is now persisted and closing the window will no longer close the app.
https://github.com/sindresorhus/caprine/compare/0.3.0...0.4.0","Window state is now persisted and closing the window will no longer close the app.
link"
116,Show download progress (usually on the app icon). https://github.com/sindresorhus/caprine/commit/b9ae04dafa669f5a79771c26c5a0a0f7246b4c6e,Show download progress (usually on the app icon). link
117,Fix #26 - Duplicated icon in taskbar on Windows.,Fix #26 - Duplicated icon in taskbar on Windows.
118,https://github.com/sindresorhus/caprine/compare/0.1.2...0.2.0,link
119,Changes: https://github.com/sindresorhus/caprine/compare/0.1.1...0.1.2,Changes: link
120,"Download
Changes: https://github.com/sindresorhus/caprine/compare/0.1.0...0.1.1","Download
Changes: link"
121,Download,Download
