Index,Message,Description
286,Update semver requirement from ^5.3.0 to ^6.0.0 (#966),Updates the requirements on link to permit the latest version. - link - link - link Signed-off-by: dependabot[bot] link
287,Merge pull request #963 from electron-userland/dependabot/npm_and_yarn/eslint-plugin-ava-tw-6.0.0, Update eslint-plugin-ava requirement from ^5.1.1 to ^6.0.0 AppVeyor: use yarn instead of npm  Works around eslint/eslint#11018 (which seems to be a bug in NPM)
288,AppVeyor: use yarn instead of npm,Works around https://github.com/eslint/eslint/issues/11018 (which seems to be a bug in NPM)
289,Update eslint-plugin-ava requirement from ^5.1.1 to ^6.0.0,Updates the requirements on link to permit the latest version. - link - link Signed-off-by: dependabot[bot] link
290,docs: OS X => macOS (#958),
291,13.1.1,
292,fix(targets): Linux/ia32 is no longer supported for Electron >= 4 (#957),See:  https://electronjs.org/blog/linux-32bit-support https://github.com/electron/electron/issues/16407
293,13.1.0,
294,Merge pull request #952 from electron-userland/upgrade-dependencies,Upgrade asar and yargs-parser dependencies
295,Upgrade yargs-parser to ^13.0.0,
296,Upgrade asar to ^1.0.0,
297,serialHooks only takes Promises,
298,Clarify which LICENSE is which in the example,
299,Add 11.2.1 to NEWS file,
300,Handle inferring electron-prebuilt-compile versions better (#932),Only apply the module workaround when Electron < 1.6.5
301,Add support for inferring version from Electron nightlies (#931),
302,Merge pull request #930 from electron-userland/ava-1.0, Upgrade ava to ^1. Disable AVA's Babel support to speed up the testsuite.
303,Consolidate console.warn testing methods,
304,Upgrade ava to ^1,
305,Add keywords to package.json,
306,Update links,
307,Simplify assertFilesEqual,
308,Update docs,
309,13.0.1,
310,Ensure relative out dirs are correctly ignored when copying (#919),This happens when both the dir and the out dir are relative to the current working directory. Fixes #918.
311,Remove accidentally committed package lock,
312,13.0.0,
313,Update related package links in readme,
314,Use Travis CI for some Windows CI (#917), Upgrade Linux CI to Ubuntu 16.04 Let Travis CI handle x64 windows tests
315,Drop callback support (#916),"Removes callback-style support (use module if you need that still), and adds an module/module example to the API docs."
316,Remove deprecated target arch API (#915),
317,Upgrade eslint-plugin-node to ^8,
318,Merge pull request #899 from electron-userland/notarize-support,feat: add support for Mojave app notarization
319,Attempt to fix possible race condition with sinon.spy,
320,Note which notarize sub-properties are required,
321,"Reorganize some code, clarify docs, add tests",
322,feat: add support for mojave app notarization,
323,Merge pull request #900 from electron-userland/drop-node-4,Drop Node 4 support
324,probot(request-info): check that issues/PRs don't have un-filled-in templates,
325,Upgrade to ESLint 5,
326,More package upgrades,
327,Drop support for Node < 6,
328,Merge pull request #823 from jsg2021/asar-filename,Add support for prebuilt asars
329,Clean up,
330,Add prebuiltAsar option,Fixes #161.
331,12.2.0,
332,Add link to electron-installer-windows (#817),
333,Test refactors (#896), Add test helpers to assert that files/directories/symlinks exist Deduplicate test code
334,Don't handle EH/NP Helpers if they don't exist (#894),
335,Merge pull request #893 from electron-userland/mojave-dark-mode,feat: add darwinDarkModeSupport option to support mojave dark mode for older Electron versions
336,Add default to API docs,
337,Add CLI usage,
338,feat: add enableDarwinDarkModeSupport option to support mojave dark mode for older electron versions,
339,Fix typo,
340,12.1.2,
341,Merge pull request #889 from electron-userland/prune-user-namespaced-modules,Prune user-namespaced modules
342,Prune user-namespaced modules,
343,12.1.1,
344,Host arch utilities moved to electron-download,"See: https://github.com/electron-userland/electron-download/pull/77 This is not a breaking change, the existing API has been kept for backwards-compatibility purposes until the next major version."
345,12.1.0,
346,Merge pull request #847 from electron-userland/more-proper-definition-of-modules,Better detection of node modules when pruning
347,Better detection of node modules when pruning,Fixes #845.
348,Merge pull request #843 from electron-userland/mips64el-not-supported-by-2.0.0,Prevent trying to download mips64el arch for Electron 2.x
349,Prevent trying to download mips64el arch for Electron 2.x,
350,Merge pull request #841 from electron-userland/cli-version-prints-out-packager-version,"Add --version to print out Packager/Node versions, target platform/arch"
351,"Add --version to print out Packager/Node versions, target platform/arch",
352,getPackageInfo doesn't need to be promisified,
353,Upgrade sinon to 5.x,
354,12.0.2,
355,Deprecate the callback version of the packager API (#837),Ignore the warning in code coverage
356,Merge pull request #835 from electron-userland/cli-semver,Use semver to check the Node version in the CLI
357,Use semver to check the Node version in the CLI,Fixes #831.
358,12.0.1,
359,Refactor default_app removal code,
