,Time
2200,50000
2201,13521
2202,153166
2203,42543
2204,324777
2205,91506
2206,5382
2207,98376
2208,80691
2209,218027
2210,131581
2211,163526
2212,95742
2213,572915
2214,25486
2215,351895
2216,73592
2217,4108
2218,181526
2219,421107
2220,78851
2221,104903
2222,345503
2223,167807
2224,74328
2225,360940
2226,259153
2227,345565
2228,170884
2229,73520
2230,14834
2231,345424
2232,671723
2233,24
2234,184156
2235,349093
2236,4779
2237,257239
2238,2008
2239,244656
2240,607102
2241,261692
2242,81954
2243,10544
2244,14
2245,3585
2246,928933
2247,259994
2248,10394
2249,323413
2250,467
2251,291245
2252,345588
2253,508775
2254,90532
2255,5441
2256,73736
2257,150037
2258,962
2259,32918
2260,347191
2261,259196
2262,319873
2263,5103
2264,13
2265,195385
2266,823
2267,72836
2268,10756
2269,345567
2270,238853
2271,20392
2272,345642
2273,259135
2274,517112
2275,39208
2276,27721
2277,366451
2278,259162
2279,576297
2280,28504
2281,310946
2282,34657
2283,244868
2284,14331
2285,312828
2286,1842
2287,69
2288,168064
2289,12100
2290,376579
2291,71342
2292,408644
2293,122666
2294,327262
2295,15170
2296,581885
2297,413643
2298,29
2299,25201
2300,605315
2301,523125
2302,257414
2303,4483
2304,423041
2305,1745467
2306,139405
2307,4927
2308,70323
2309,9074
2310,276714
2311,184640
2312,154585
2313,507405
2314,101140
2315,1025355
2316,15492
2317,80703
2318,1036764
2319,247438
2320,193
2321,271179
2322,14789
2323,2903
2324,66067
2325,613740
2326,128
2327,89535
2328,156490
2329,11337
2330,449137
2331,74590
2332,589715
2333,9359
2334,606896
2335,599355
2336,518153
2337,3284
2338,39
2339,613076
2340,177452
2341,836652
2342,24541
2343,73246
2344,18260
2345,161707
2346,336781
2347,344115
2348,454
2349,419321
2350,190852
2351,445824
2352,67944
2353,13666
2354,92621
2355,413994
2356,103068
2357,78401
2358,516990
2359,332191
2360,5966
2361,192205
2362,88085
2363,60313
2364,367676
2365,78783
2366,593771
2367,171840
2368,436786
2369,82312
2370,342429
2371,187135
2372,71848
2373,6497
2374,342393
2375,17540
2376,246199
2377,441839
2378,156163
2379,9538
2380,9913
2381,411258
2382,110037
2383,1733
2384,592653
2385,86691
2386,421620
2387,180688
2388,1045
2389,576075
2390,368257
2391,82749
2392,100813
2393,71175
2394,519189
2395,88250
2396,356381
2397,1294081
2398,8828
2399,514201
2400,76468
2401,46
2402,83120
2403,521609
2404,83754
2405,17147
2406,579093
2407,495271
2408,8519
2409,15530
2410,12356
2411,246329
2412,631
2413,265
2414,449714
2415,68022
2416,964508
2417,63188
2418,12245
2419,969792
2420,138592
2421,104545
2422,17213
2423,1263
2424,231922
2425,348826
2426,174815
2427,15257
2428,675085
2429,620981
2430,243675
2431,8494
2432,4997
2433,1295498
2434,159874
2435,58
2436,92581
2437,1402
2438,3215
2439,252378
2440,7
2441,96246
2442,242492
2443,2328
2444,589704
2445,117511
2446,241559
2447,871799
2448,5771
2449,575195
2450,621714
2451,89
2452,429729
2453,52
2454,234
2455,606452
2456,120227
2457,393129
