,Num commit
1967,274
1968,188
1969,267
1970,179
1971,1297
1972,489
1973,435
1974,503
1975,279
1976,171
1977,3
1978,245
1979,162
1980,243
1981,404
1982,714
1983,755
1984,478
1985,4
1986,482
1987,1041
1988,474
1989,408
1990,220
1991,1159
1992,462
1993,8
1994,1132
1995,459
1996,386
1997,225
1998,2
1999,7
2000,11
2001,9
2002,763
2003,704
2004,850
2005,489
2006,5
2007,991
2008,448
2009,363
2010,308
2011,654
2012,359
2013,2
2014,298
2015,1379
2016,482
2017,443
2018,342
2019,638
2020,338
2021,3
2022,282
2023,630
2024,327
2025,271
2026,171
2027,269
2028,619
2029,655
2030,829
2031,476
2032,266
2033,165
2034,253
2035,5
2036,142
2037,249
2038,926
2039,416
2040,300
2041,16
2042,1305
2043,464
2044,406
2045,282
2046,558
2047,273
2048,883
2049,391
2050,7
2051,536
2052,994
2053,452
2054,378
2055,259
2056,10
2057,12
2058,8
2059,833
2060,358
2061,10
2062,220
2063,1217
2064,446
2065,350
2066,214
2067,11
2068,452
2069,2
2070,1307
2071,502
2072,509
2073,1110
2074,500
2075,434
2076,311
2077,5
2078,14
2079,874
2080,426
2081,300
2082,2
2083,870
2084,419
2085,1253
2086,496
2087,448
2088,1071
2089,479
2090,399
2091,3
2092,431
2093,257
2094,421
2095,248
2096,814
2097,761
2098,460
2099,246
2100,7
2101,14
2102,788
2103,358
2104,5
2105,379
2106,607
2107,741
2108,454
2109,5
2110,1150
2111,444
2112,335
2113,8
2114,348
2115,191
2116,3
2117,1593
2118,615
2119,10
2120,2
2121,8
2122,4
2123,936
2124,426
2125,305
2126,8
2127,3
2128,5
2129,5
2130,521
2131,661
2132,871
2133,605
2134,3
2135,514
2136,267
2137,6
2138,1365
2139,601
2140,392
2141,496
2142,252
2143,870
2144,835
2145,582
2146,235
2147,471
2148,217
2149,1
2150,15
2151,1292
2152,572
2153,593
2154,343
2155,432
2156,197
2157,816
2158,329
2159,191
2160,2
2161,10
2162,3
2163,407
2164,1040
2165,554
2166,401
2167,174
2168,1692
2169,551
2170,1221
2171,548
2172,3
2173,5
2174,2
2175,1012
2176,533
2177,4
2178,1429
2179,540
2180,986
2181,514
2182,3
2183,504
2184,9
2185,265
2186,7
2187,944
2188,482
2189,458
2190,236
2191,3
2192,1349
2193,511
2194,460
2195,214
2196,2
2197,6
2198,4
2199,872
2200,882
2201,503
2202,201
2203,397
2204,9
2205,184
2206,1705
2207,474
2208,6
2209,8
2210,629
2211,412
2212,5
2213,3
2214,10
2215,599
2216,832
2217,479
2218,4
2219,591
2220,386
2221,4
2222,1018
2223,475
2224,380
2225,11
2226,2
2227,996
2228,452
2229,355
2230,5
2231,984
2232,848
2233,453
2234,771
2235,434
2236,967
2237,421
2238,526
2239,16
2240,11
2241,1131
2242,437
2243,390
2244,282
2245,14
2246,476
2247,1722
2248,478
2249,785
2250,427
2251,7
2252,1682
2253,466
2254,351
2255,1037
2256,404
2257,620
2258,348
2259,7
2260,14
2261,1006
2262,391
2263,332
2264,1003
2265,1017
2266,460
2267,329
2268,4
2269,582
2270,320
2271,2
2272,6
2273,568
2274,716
2275,6
2276,353
2277,12
2278,532
2279,279
2280,519
2281,274
2282,510
2283,255
2284,6
2285,902
2286,968
2287,434
2288,233
2289,1524
2290,428
2291,326
2292,468
2293,628
2294,311
2295,451
2296,14
2297,598
2298,304
2299,593
2300,292
2301,9
2302,559
2303,9
2304,4
2305,271
2306,538
2307,1462
2308,410
2309,407
2310,882
2311,402
2312,240
2313,507
2314,857
2315,396
2316,480
2317,22
2318,15
2319,799
2320,946
2321,406
2322,791
2323,379
2324,16
2325,1047
2326,2
2327,4
2328,365
2329,1869
2330,456
2331,8
2332,725
2333,8
2334,912
2335,392
2336,711
2337,1473
2338,453
2339,2
2340,15
2341,318
2342,693
2343,1448
2344,450
2345,13
2346,862
2347,373
2348,283
2349,656
2350,266
2351,646
2352,824
2353,928
2354,445
2355,2780
2356,451
2357,797
2358,910
2359,438
2360,6
2361,780
2362,903
2363,1448
2364,447
2365,13
2366,1320
2367,418
2368,314
2369,4
2370,1297
2371,400
2372,298
2373,717
2374,286
2375,12
2376,2274
2377,443
2378,680
2379,841
2380,14
2381,1384
2382,439
2383,665
2384,259
2385,1190
2386,364
2387,1183
2388,362
2389,611
2390,820
2391,1372
2392,437
2393,1156
2394,351
2395,11
2396,796
2397,338
2398,770
2399,1342
2400,430
2401,327
2402,1770
2403,421
2404,314
2405,748
2406,1321
2407,46
2408,1641
2409,320
2410,1316
2411,402
2412,725
2413,302
2414,719
2415,1308
2416,398
2417,702
2418,291
2419,612
2420,1282
2421,83
2422,1575
2423,314
2424,1263
2425,379
2426,571
2427,1252
2428,14
2429,53
2430,29
2431,356
2432,11
2433,2449
2434,311
2435,7
2436,1203
2437,38
2438,20
2439,31
2440,1554
2441,304
2442,316
2443,1183
2444,2
2445,328
2446,1167
2447,1539
2448,298
2449,7
2450,292
2451,2340
2452,293
2453,283
2454,1094
2455,273
2456,2310
2457,285
2458,255
2459,28
2460,6
2461,4
2462,1015
2463,6
2464,1458
2465,263
2466,2
2467,1449
2468,250
2469,6
2470,5
2471,3
2472,1423
2473,243
2474,12
2475,14
2476,3272
2477,87
2478,139
2479,1374
2480,231
2481,28
2482,1338
2483,7
2484,198
2485,1322
2486,187
2487,1301
2488,176
2489,1279
2490,12
2491,149
2492,1087
2493,1006
2494,1135
2495,78
2496,4528
2497,94
2498,974
2499,1127
2500,72
2501,116
2502,9
2503,8
2504,7
2505,946
2506,1109
2507,69
2508,30
2509,906
2510,83
2511,12
2512,875
2513,3579
2514,91
2515,58
2516,15
2517,3557
2518,86
2519,5
2520,48
2521,238
2522,174
2523,3119
2524,83
2525,34
2526,2924
2527,77
2528,2545
2529,48
2530,233
2531,14
2532,2521
2533,44
2534,82
2535,162
2536,137
2537,1616
2538,33
2539,1436
2540,13
2541,43
2542,86
2543,2903
2544,62
2545,110
2546,1122
2547,3
2548,107
2549,2457
2550,54
2551,134
2552,71
2553,235
2554,69
2555,138
2556,58
2557,97
2558,141
2559,83
2560,22
2561,1215
2562,51
2563,1119
2564,34
2565,1090
2566,10
2567,16
2568,99
2569,74
2570,816
2571,7
2572,195
2573,98
2574,301
2575,3
2576,148
2577,21
2578,99
2579,111
2580,113
2581,236
2582,98
